record_id,model_order,model_label,provider,model_id,review_type,objective_category,objective_category_source,icd11_pain_category,musculoskeletal_flag,bps_function,bio_mentioned,psych_mentioned,social_mentioned,quality_assessment_reported,psychological_concepts_detected,theoretical_frameworks_detected,conceptual_problem_flags,provisional_typology,stage3_candidate,stage3_priority,coding_rationale,coding_method,llm_model
A014_41456977,2,Nex-N2-Mini,Nex AGI,nex-agi/nex-n2-mini,integrative review,conceptual,llm_structured,mixed or unspecified chronic pain,unclear,explanatory framework,yes,yes,yes,no,stress | cognitive impairment | psychological disturbances | stress response,biopsychosocial framework | whittemore and knaf,none,potential integrative signal,yes,medium,"Integrative review of chronic pain/cognitive impairment; BPS biological, psychological, and socioeconomic factors are integrated via mediators/moderators. Chronic pain family is unspecified, so musculoskeletal relevance remains unclear.",llm_structured,nex-agi/nex-n2-mini
A015_41371390,2,Nex-N2-Mini,Nex AGI,nex-agi/nex-n2-mini,narrative or expert review,conceptual,llm_structured,chronic secondary musculoskeletal pain,yes,explanatory framework,yes,yes,no,no,stress | chronic stress,biopsychosocial oa model,missing_social,pseudo-bps or partial signal,yes,high,"OA is chronic secondary musculoskeletal pain; abstract presents a BPS model with biological and stress/sleep mechanisms but no social content, so it is a partial BPS signal for musculoskeletal full-text review.",llm_structured,nex-agi/nex-n2-mini
A016_41271285,2,Nex-N2-Mini,Nex AGI,nex-agi/nex-n2-mini,narrative or expert review,mixed,llm_structured,mixed or unspecified chronic pain,unclear,explanatory framework,no,no,yes,no,,biopsychosocial model,missing_biology,pseudo-bps or partial signal,yes,medium,"BPS guides overview of chronic pain in older adults and caregivers, with dyadic clinical management; social/caregiver content is substantive, but biological/psychological mechanisms or constructs are not detailed.",llm_structured,nex-agi/nex-n2-mini
A017_41271276,2,Nex-N2-Mini,Nex AGI,nex-agi/nex-n2-mini,narrative or expert review,clinical,llm_structured,mixed or unspecified chronic pain,unclear,unclear,yes,no,yes,no,,geriatric 5ms | age-friendly health systems,parallel_listing_without_integration | mechanistic_absence,pseudo-bps or partial signal,yes,medium,"Clinical chronic-pain care review using the geriatric 5Ms/interdisciplinary care; medication and health-system/team content are substantive, psychological evidence is thin, and domains are listed rather than integrated.",llm_structured,nex-agi/nex-n2-mini
A018_41271275,2,Nex-N2-Mini,Nex AGI,nex-agi/nex-n2-mini,narrative or expert review,clinical,llm_structured,mixed or unspecified chronic pain,unclear,organizing principle,yes,yes,no,no,expectations | communication | coaching,biopsychosocial model,missing_social | vague_definition | parallel_listing_without_integration | mechanistic_absence,pseudo-bps or partial signal,yes,medium,"BPS is used to structure pain-care principles, with psych content and pain-modulatory interventions but no substantive social domain.",llm_structured,nex-agi/nex-n2-mini
A019_41058307,2,Nex-N2-Mini,Nex AGI,nex-agi/nex-n2-mini,umbrella review,clinical,llm_structured,chronic secondary headache or orofacial pain,yes,intervention rationale,yes,yes,no,yes,patient education | behavioural therapy,biopsychosocial model,missing_social | parallel_listing_without_integration | mechanistic_absence,pseudo-bps or partial signal,yes,high,"TMD involves masticatory muscles/joints and jaw exercises (bio), with education/behavioural therapy (psych); BPS mainly justifies self-management, but no social determinants or social context are described.",llm_structured,nex-agi/nex-n2-mini
A020_40748548,2,Nex-N2-Mini,Nex AGI,nex-agi/nex-n2-mini,narrative or expert review,clinical,llm_structured,mixed or unspecified chronic pain,unclear,intervention rationale,yes,yes,yes,no,stress | hypnosis | meditation | motivational interviewing | cognitive interventions | psychological factors | sleep,biopsychosocial model,parallel_listing_without_integration | mechanistic_absence,multifactorial signal,yes,medium,"Chronic pain psychotherapy review uses BPS to justify hypnosis-centered modules; medical/opioid, psychological, and work/productivity content are present, but domains are mainly listed with limited integration or mechanism.",llm_structured,nex-agi/nex-n2-mini
A021_40089399,2,Nex-N2-Mini,Nex AGI,nex-agi/nex-n2-mini,narrative or expert review,conceptual,llm_structured,chronic postsurgical or posttraumatic pain,no,organizing principle,yes,yes,no,no,stress | pain-related distress,biopsychosocial model,missing_social | parallel_listing_without_integration | mechanistic_absence,pseudo-bps or partial signal,no,low,"Narrative CPSP definition review: BPS appears mainly as ICD-11 multifactorial assessment with biology and distress, no social domain or integration; postsurgical pain is not musculoskeletal.",llm_structured,nex-agi/nex-n2-mini
A022_39564413,2,Nex-N2-Mini,Nex AGI,nex-agi/nex-n2-mini,systematic review,clinical,llm_structured,chronic postsurgical or posttraumatic pain,yes,rhetorical label,yes,yes,yes,yes,catastrophizing | fear-avoidance | cognitive-behavioral therapy | dialectical behavior therapy | psychoeducation | mindfulness | meditation | psychotherapy | relaxation | hypnosis | kinesiophobia | pain catastrophizing | psychological well-being,biopsychosocial model,tokenistic_bps | parallel_listing_without_integration | mechanistic_absence | vague_definition,rhetorical label signal,yes,high,TKA/osteoarthritis indicates chronic postsurgical musculoskeletal pain; review tests psychosocial interventions with RoB. BPS appears only as an intervention label; psychosocial/social/biological domains are listed without integration.,llm_structured,nex-agi/nex-n2-mini
A023_41676335,2,Nex-N2-Mini,Nex AGI,nex-agi/nex-n2-mini,narrative or expert review,mixed,llm_structured,mixed or unspecified chronic pain,yes,explanatory framework,yes,yes,yes,no,stress | stressors,biopsychosocial model,none,potential integrative signal,yes,high,"Broad chronic pain review in TGD youth; BPS explains risk via neurobiological, psychological, and societal/systemic factors, with clinical recommendations and MSK examples.",llm_structured,nex-agi/nex-n2-mini
A024_41554075,2,Nex-N2-Mini,Nex AGI,nex-agi/nex-n2-mini,narrative or expert review,conceptual,llm_structured,mixed or unspecified chronic pain,unclear,explanatory framework,yes,yes,yes,no,coping | stress | chronic stress | emotional dysregulation | maladaptive coping | emotional awareness | conscious pain regulation,biopsychosocial model,none,potential integrative signal,yes,medium,"Narrative review of unspecified chronic pain; BPS is used as an integrative framework with neuroendocrine, stress, coping, and ACE/social adversity mechanisms; musculoskeletal relevance cannot be ruled out.",llm_structured,nex-agi/nex-n2-mini
A025_41518191,2,Nex-N2-Mini,Nex AGI,nex-agi/nex-n2-mini,narrative or expert review,mixed,llm_structured,mixed or unspecified chronic pain,unclear,intervention rationale,yes,yes,yes,no,affect | cognition,biopsychosocial model,vague_definition | parallel_listing_without_integration | mechanistic_absence,multifactorial signal,yes,medium,"General chronic pain review with BPS model used to justify multimodal care; biological brain changes, affect/cognition, and social/economic domains are substantive but listed in parallel, with no named quality appraisal.",llm_structured,nex-agi/nex-n2-mini
A026_41517319,2,Nex-N2-Mini,Nex AGI,nex-agi/nex-n2-mini,rapid review,clinical,llm_structured,chronic primary pain,no,intervention rationale,yes,yes,yes,yes,depression | anxiety | psychological therapy,biopsychosocial model,parallel_listing_without_integration | mechanistic_absence,multifactorial signal,no,low,"Rapid review of vulvodynia QoL with physical, psychological and social outcomes and multidisciplinary care; BPS used to support multifactorial, multidisciplinary framing rather than integrated mechanism. Not MSK.",llm_structured,nex-agi/nex-n2-mini
A027_41436105,2,Nex-N2-Mini,Nex AGI,nex-agi/nex-n2-mini,narrative or expert review,conceptual,llm_structured,chronic secondary headache or orofacial pain,yes,explanatory framework,yes,yes,yes,no,sensorimotor behavior,topsmi | theory of pain-sensorimotor interactions,none,potential integrative signal,yes,high,"TOPSMI is applied as a mechanistic pain-sensorimotor framework for orofacial/musculoskeletal pain; abstract names biological, behavioral, and sociocultural influences, with clinical/research implications.",llm_structured,nex-agi/nex-n2-mini
A028_41412623,2,Nex-N2-Mini,Nex AGI,nex-agi/nex-n2-mini,systematic review,methodological,llm_structured,mixed or unspecified chronic pain,unclear,organizing principle,yes,yes,no,yes,mental health,,missing_social | parallel_listing_without_integration | mechanistic_absence,pseudo-bps or partial signal,yes,medium,"BPS is used to justify multidomain composite outcomes, but social determinants are absent. Musculoskeletal relevance cannot be ruled out from unspecified refractory chronic pain.",llm_structured,nex-agi/nex-n2-mini
A029_41409397,2,Nex-N2-Mini,Nex AGI,nex-agi/nex-n2-mini,narrative or expert review,conceptual,llm_structured,mixed or unspecified chronic pain,unclear,background framing,yes,yes,no,no,catastrophizing | attention | hypervigilance | distraction | mindfulness | flow | intrinsic reward | motivation | pain interference,biopsychosocial model | flow theory | flow-induced analgesia framework,tokenistic_bps | missing_social | parallel_listing_without_integration | mechanistic_absence,pseudo-bps or partial signal,yes,medium,"BPS label is title-only; abstract substantively covers psych and neurobiological pain mechanisms but no social determinants. It proposes an integrative flow analgesia framework, making musculoskeletal relevance unclear.",llm_structured,nex-agi/nex-n2-mini
A030_41396232,2,Nex-N2-Mini,Nex AGI,nex-agi/nex-n2-mini,narrative or expert review,clinical,llm_structured,chronic cancer-related pain,no,organizing principle,no,yes,no,no,biofeedback | hypnosis | physical activity,biopsychosocial model,vague_definition | missing_social | missing_biology | parallel_listing_without_integration | mechanistic_absence,pseudo-bps or partial signal,no,low,"Cancer survivor chronic pain review centers on assessment and non-pharmacological management; BPS is invoked for assessment/tailoring, with psych/behavioral content but no social or biological mechanisms, so partial rather than integrative.",llm_structured,nex-agi/nex-n2-mini
A031_41390944,2,Nex-N2-Mini,Nex AGI,nex-agi/nex-n2-mini,narrative or expert review,clinical,llm_structured,chronic primary pain,yes,unclear,yes,yes,yes,no,stress | distress,,parallel_listing_without_integration | mechanistic_absence,multifactorial signal,yes,high,"Fibromyalgia is musculoskeletal/chronic primary pain; the abstract covers sensitization, inflammation, pharmacology, distress, and economic burden. BPS is not explicit, with domains listed in parallel rather than integrated.",llm_structured,nex-agi/nex-n2-mini
A032_41356326,2,Nex-N2-Mini,Nex AGI,nex-agi/nex-n2-mini,systematic review,clinical,llm_structured,chronic primary pain,yes,policy/practice implication,yes,yes,no,no,catastrophizing | fear-avoidance | fear-avoidance beliefs | pain catastrophizing,biopsychosocial framework,missing_social,pseudo-bps or partial signal,yes,high,"Chronic nonspecific low back pain is musculoskeletal; abstract covers strength/muscle, fear avoidance and catastrophizing, but no substantive social domain. BPS appears as a concluding individualized-rehabilitation framework.",llm_structured,nex-agi/nex-n2-mini
A033_41324834,2,Nex-N2-Mini,Nex AGI,nex-agi/nex-n2-mini,narrative or expert review,conceptual,llm_structured,mixed or unspecified chronic pain,unclear,explanatory framework,no,yes,yes,no,stress | minority stress | trauma-informed care | strengths-based interventions,biopsychosocial model | minority stress | ecological systems | intersectionality,missing_biology,pseudo-bps or partial signal,yes,medium,"Pediatric chronic pain unspecified with no musculoskeletal condition; BPS is expanded by psychosocial/equity frameworks, not biology. Mixed aims and partial BPS signal warrant full-text screening.",llm_structured,nex-agi/nex-n2-mini
A034_41268985,2,Nex-N2-Mini,Nex AGI,nex-agi/nex-n2-mini,scoping or mapping review,clinical,llm_structured,mixed or unspecified chronic pain,unclear,intervention rationale,no,yes,no,no,coping | meaningfulness | self-identity | spirituality | cognitive-behavioral therapy | life satisfaction,existential therapy | biopsychosocial approach | cognitive-behavioral therapy,missing_biology | missing_social | parallel_listing_without_integration | mechanistic_absence,pseudo-bps or partial signal,yes,medium,Scoping review of existential therapy for chronic pain; BPS is used to justify treatment but only psychological content appears. No biological or social domain evidence; chronic pain family unspecified.,llm_structured,nex-agi/nex-n2-mini
A035_41221343,2,Nex-N2-Mini,Nex AGI,nex-agi/nex-n2-mini,narrative or expert review,conceptual,llm_structured,chronic secondary musculoskeletal pain,yes,explanatory framework,yes,no,no,yes,,integrated hypothesis | central sensitization | muscle-based model,missing_social,pseudo-bps or partial signal,yes,high,"MPS is chronic musculoskeletal pain; abstract provides strong biological mechanisms and an integrative model but only broad psychosocial references, so partial BPS and high musculoskeletal relevance.",llm_structured,nex-agi/nex-n2-mini
A036_41188763,2,Nex-N2-Mini,Nex AGI,nex-agi/nex-n2-mini,narrative or expert review,conceptual,llm_structured,chronic primary pain,unclear,explanatory framework,yes,yes,yes,no,behavior | cognitive-affective factors,biopsychosocial model | developmentally oriented biopsychosocial model,none,potential integrative signal,yes,medium,"Conceptual BPS model of primary pain, with biological, cognitive-affective, behavioral, and sociocultural factors; musculoskeletal relevance unclear but not ruled out.",llm_structured,nex-agi/nex-n2-mini
A037_41176184,2,Nex-N2-Mini,Nex AGI,nex-agi/nex-n2-mini,systematic review,clinical,llm_structured,chronic primary pain,yes,intervention rationale,yes,yes,no,yes,coping | depression | anxiety | acceptance | coping strategies | perception of improvement,biopsychosocial model,missing_social | mechanistic_absence | parallel_listing_without_integration,pseudo-bps or partial signal,yes,high,"Fibromyalgia yoga systematic review; BPS frames a mind-body intervention rationale, with biological and psychological content but no substantive social domain or integration mechanism.",llm_structured,nex-agi/nex-n2-mini
A038_41153503,2,Nex-N2-Mini,Nex AGI,nex-agi/nex-n2-mini,systematic review,mixed,llm_structured,chronic cancer-related pain,no,rhetorical label,no,yes,no,no,depression | anxiety,,tokenistic_bps | missing_biology | missing_social | vague_definition,pseudo-bps or partial signal,no,low,"Cancer-survivor pain prevalence review; BPS appears mainly as a label, with depression/anxiety only and no social or biological mechanisms, so not MSK-stage3.",llm_structured,nex-agi/nex-n2-mini
A039_41153499,2,Nex-N2-Mini,Nex AGI,nex-agi/nex-n2-mini,systematic review,clinical,llm_structured,mixed or unspecified chronic pain,unclear,intervention rationale,no,yes,yes,yes,coping | self-efficacy | pain-related knowledge,biopsychosocial model,missing_biology | parallel_listing_without_integration | mechanistic_absence,pseudo-bps or partial signal,yes,medium,"Pediatric chronic pain is unspecified, so musculoskeletal relevance is unclear; review is clinical/systematic. BPS appears as a multidisciplinary care rationale with psych/social content but no substantive biology or integration mechanism.",llm_structured,nex-agi/nex-n2-mini
A040_41146083,2,Nex-N2-Mini,Nex AGI,nex-agi/nex-n2-mini,scoping or mapping review,conceptual,llm_structured,chronic secondary musculoskeletal pain,yes,explanatory framework,no,no,yes,no,coping,biopsychosocial model | population-concept-context framework,missing_biology | mechanistic_absence,pseudo-bps or partial signal,yes,high,"CLBP scoping review; BPS named as explanatory framework but abstract substantively covers social factors only, with no bio/psych mechanisms. Direct musculoskeletal relevance warrants full-text coding.",llm_structured,nex-agi/nex-n2-mini
A041_41136126,2,Nex-N2-Mini,Nex AGI,nex-agi/nex-n2-mini,narrative or expert review,clinical,llm_structured,mixed or unspecified chronic pain,unclear,intervention rationale,yes,yes,yes,no,coping | cognitive factors | emotional factors | cognitive behavioral therapy | fear of pain | avoidance behavior,biopsychosocial model,parallel_listing_without_integration | mechanistic_absence,pseudo-bps or partial signal,yes,medium,"BPS is used to justify pain-management care; biological, psychological, and social content appears, but social integration is thin and domains are largely listed.",llm_structured,nex-agi/nex-n2-mini
A042_41134173,2,Nex-N2-Mini,Nex AGI,nex-agi/nex-n2-mini,narrative or expert review,clinical,llm_structured,mixed or unspecified chronic pain,no,background framing,yes,yes,yes,no,,brain-gut axis | biopsychosocial model,parallel_listing_without_integration | mechanistic_absence,multifactorial signal,no,low,"Clinical review of chronic abdominal pain using BPS framing, brain-gut axis, psychotherapies, and rehabilitation. Visceral pain; no MSK relevance; social content limited to care/training context; no integration mechanism.",llm_structured,nex-agi/nex-n2-mini
A043_41134055,2,Nex-N2-Mini,Nex AGI,nex-agi/nex-n2-mini,narrative or expert review,clinical,llm_structured,chronic secondary musculoskeletal pain,yes,intervention rationale,yes,no,yes,no,,biopsychosocial model,parallel_listing_without_integration | mechanistic_absence,pseudo-bps or partial signal,yes,high,"Facet-joint chronic pain and primary-care/interventional rehabilitation program; BPS is used to justify care organization, but psychological mechanisms are absent, so it is only a partial BPS signal.",llm_structured,nex-agi/nex-n2-mini
A044_41105043,2,Nex-N2-Mini,Nex AGI,nex-agi/nex-n2-mini,narrative or expert review,conceptual,llm_structured,mixed or unspecified chronic pain,unclear,background framing,yes,no,no,no,,,vague_definition | tokenistic_bps | missing_social | parallel_listing_without_integration | mechanistic_absence,pseudo-bps or partial signal,yes,medium,"Narrative chronic-pain neurobiology review; BPS appears only as contextual label, with substantive neurobiology but no psychosocial constructs or integration.",llm_structured,nex-agi/nex-n2-mini
A045_41086339,2,Nex-N2-Mini,Nex AGI,nex-agi/nex-n2-mini,narrative or expert review,mixed,llm_structured,mixed or unspecified chronic pain,unclear,organizing principle,yes,yes,no,no,emotion | cognition,measurement-enabled understanding,missing_social | parallel_listing_without_integration | mechanistic_absence,pseudo-bps or partial signal,yes,medium,"Biomarker/omics and neuroimmune content are strong; emotion/cognition are included, but social content is only a broad dimension. The framework integrates domains for precision pain medicine, so social absence makes the BPS signal partial.",llm_structured,nex-agi/nex-n2-mini
A046_41086338,2,Nex-N2-Mini,Nex AGI,nex-agi/nex-n2-mini,narrative or expert review,mixed,llm_structured,mixed or unspecified chronic pain,yes,organizing principle,yes,yes,yes,no,,,mechanistic_absence,potential integrative signal,yes,high,"Broad persistent-pain perspective uses integrated BPS signatures with biological examples and psychosocial factors, but no appraisal and limited integration detail; MSK relevance not excluded.",llm_structured,nex-agi/nex-n2-mini
A047_40868970,2,Nex-N2-Mini,Nex AGI,nex-agi/nex-n2-mini,narrative or expert review,conceptual,llm_structured,mixed or unspecified chronic pain,yes,intervention rationale,yes,yes,no,unclear,depression | anxiety | ptsd | dissociation | internalizing symptoms | affective misattribution | cognitive self-monitoring | trauma | emotional dysregulation | personality vulnerabilities,biopsychosocial model,missing_social | parallel_listing_without_integration | mechanistic_absence,pseudo-bps or partial signal,yes,high,"Narrative synthesis of FND comorbidities; psych and biological mechanisms are substantive, social content is absent, and BPS is used mainly to support integrated care in conclusion.",llm_structured,nex-agi/nex-n2-mini
A048_40839219,2,Nex-N2-Mini,Nex AGI,nex-agi/nex-n2-mini,narrative or expert review,mixed,llm_structured,mixed or unspecified chronic pain,yes,explanatory framework,yes,yes,yes,no,depression | anxiety | stress | emotional distress | dysfunctional behavioral responses,biopsychosocial model | transdiagnostic approach,none,potential integrative signal,yes,high,"Narrative review of mixed chronic pain/fatigue with nonspecific low back pain; BPS explains transdiagnostic mechanisms and individualized management, with biological, psychological, and social content.",llm_structured,nex-agi/nex-n2-mini
A049_40756887,2,Nex-N2-Mini,Nex AGI,nex-agi/nex-n2-mini,narrative or expert review,mixed,llm_structured,chronic secondary headache or orofacial pain,yes,explanatory framework,yes,no,no,no,,biopsychosocial model | icd-11 | dc/tmd,tokenistic_bps | missing_social,pseudo-bps or partial signal,yes,high,"Narrative review of chronic TMD/orofacial pain, a musculoskeletal condition, with biological mechanisms and BPS label; psych/social domains are not substantively specified, so BPS is partial/tokenistic.",llm_structured,nex-agi/nex-n2-mini
A050_40731802,2,Nex-N2-Mini,Nex AGI,nex-agi/nex-n2-mini,narrative or expert review,mixed,llm_structured,mixed or unspecified chronic pain,unclear,intervention rationale,yes,yes,yes,no,depression | anxiety | stress,biopsychosocial model,parallel_listing_without_integration | mechanistic_absence,multifactorial signal,yes,medium,"Narrative CP review covering unspecified chronic pain; BPS domains all present but parallel, supporting personalized interdisciplinary care. Broad chronic-pain scope keeps musculoskeletal relevance unclear but stage 3 yes.",llm_structured,nex-agi/nex-n2-mini
A051_40684669,2,Nex-N2-Mini,Nex AGI,nex-agi/nex-n2-mini,systematic review,conceptual,llm_structured,chronic primary pain,yes,intervention rationale,no,yes,no,yes,stress | post-traumatic stress disorder | traumatic event exposure,biopsychosocial framework,tokenistic_bps | missing_social | missing_biology | parallel_listing_without_integration | mechanistic_absence,pseudo-bps or partial signal,yes,high,"Fibromyalgia is chronic musculoskeletal pain; PTSD and traumatic exposure are substantive psychosocial content. BPS is invoked for interdisciplinary care but no substantive biology or social mechanisms are detailed, indicating a partial BPS signal.",llm_structured,nex-agi/nex-n2-mini
A052_40675666,2,Nex-N2-Mini,Nex AGI,nex-agi/nex-n2-mini,narrative or expert review,clinical,llm_structured,mixed or unspecified chronic pain,unclear,intervention rationale,no,no,yes,no,,,tokenistic_bps | missing_biology | parallel_listing_without_integration | mechanistic_absence,pseudo-bps or partial signal,yes,medium,"BPS is invoked to justify integrated chronic pain care, but abstract gives no substantive biological or psychological detail; social content is limited to implementation/resource allocation.",llm_structured,nex-agi/nex-n2-mini
A053_40675665,2,Nex-N2-Mini,Nex AGI,nex-agi/nex-n2-mini,narrative or expert review,mixed,llm_structured,chronic primary pain,unclear,intervention rationale,yes,yes,no,no,memory,biopsychosocial model of pain,missing_social | parallel_listing_without_integration | mechanistic_absence,pseudo-bps or partial signal,yes,medium,"Nociplastic/chronic primary pain with CNS mechanisms and multimodal treatment; BPS grounds therapy but social domain absent, so partial integrative signal.",llm_structured,nex-agi/nex-n2-mini
A054_40624502,2,Nex-N2-Mini,Nex AGI,nex-agi/nex-n2-mini,systematic review,conceptual,llm_structured,mixed or unspecified chronic pain,yes,background framing,no,no,yes,yes,,biopsychosocial model,missing_biology | parallel_listing_without_integration | mechanistic_absence,pseudo-bps or partial signal,yes,high,"Low back pain makes it musculoskeletal; BPS is background framing, with substantive social only. Bio/psych content is thin, so partial BPS signal.",llm_structured,nex-agi/nex-n2-mini
A055_40589056,2,Nex-N2-Mini,Nex AGI,nex-agi/nex-n2-mini,narrative or expert review,mixed,llm_structured,mixed or unspecified chronic pain,unclear,intervention rationale,yes,yes,yes,no,stress | post-traumatic stress disorder | cognitive behavioral therapy,biopsychosocial approach | polytrauma clinical triad,none,potential integrative signal,yes,medium,"PCT review links mechanisms, PTSD/TBI, CBT, rehab, shared decisions and multimodal care; BPS justifies intervention and signals integrated cross-domain care, though MSK focus is not specified.",llm_structured,nex-agi/nex-n2-mini
A056_40581443,2,Nex-N2-Mini,Nex AGI,nex-agi/nex-n2-mini,narrative or expert review,clinical,llm_structured,mixed or unspecified chronic pain,unclear,intervention rationale,yes,yes,yes,no,stress | distress,biopsychosocial approach,parallel_listing_without_integration | mechanistic_absence,multifactorial signal,yes,medium,"Clinical rehabilitation review uses BPS as rationale for multidisciplinary care; pharmacology, psychologists, and family/caseworkers indicate all domains, but mainly parallel, with no integration mechanism.",llm_structured,nex-agi/nex-n2-mini
A057_40566105,2,Nex-N2-Mini,Nex AGI,nex-agi/nex-n2-mini,narrative or expert review,clinical,llm_structured,mixed or unspecified chronic pain,unclear,explanatory framework,yes,yes,yes,no,pain beliefs | readiness-to-change,general systems theory | ecological systems theory | biopsychosocial model,none,potential integrative signal,yes,medium,"Narrative review of PNE/OUD in chronic pain uses systems/ecological and BPS frameworks; bio, psych, and social content are substantive and linked as interacting subsystems, but condition family/musculoskeletal scope are unspecified.",llm_structured,nex-agi/nex-n2-mini
A058_40563913,2,Nex-N2-Mini,Nex AGI,nex-agi/nex-n2-mini,scoping or mapping review,conceptual,llm_structured,mixed or unspecified chronic pain,unclear,background framing,yes,yes,no,no,coping | stress | fear | posttraumatic stress disorder | psychological control,biopsychosocial model,missing_social | mechanistic_absence | parallel_listing_without_integration,pseudo-bps or partial signal,yes,medium,"Scoping review of neurobiology and sensitization in chronic pain, PTSD, and MTBI; BPS appears only as background causal framing with no social domain.",llm_structured,nex-agi/nex-n2-mini
A059_40526682,2,Nex-N2-Mini,Nex AGI,nex-agi/nex-n2-mini,narrative or expert review,clinical,llm_structured,chronic postsurgical or posttraumatic pain,unclear,intervention rationale,yes,yes,yes,no,psychological functioning,biopsychosocial model,parallel_listing_without_integration | mechanistic_absence,multifactorial signal,yes,medium,"Combat-trauma chronic pain prevention review; BPS supports multidisciplinary prevention and restoration of physical, psychological, and social functioning, but integration is not specified.",llm_structured,nex-agi/nex-n2-mini
A060_40522393,2,Nex-N2-Mini,Nex AGI,nex-agi/nex-n2-mini,narrative or expert review,clinical,llm_structured,chronic primary pain,unclear,conclusion,yes,yes,yes,no,self-efficacy | pain-fear-pain cycle,biopsychosocial model,parallel_listing_without_integration | tokenistic_bps,pseudo-bps or partial signal,yes,medium,"Nociplastic/chronic primary pain review of PRT; bio and psych are substantive, social content is only implementation resources. BPS is aspirational and not integrated.",llm_structured,nex-agi/nex-n2-mini
A061_40508951,2,Nex-N2-Mini,Nex AGI,nex-agi/nex-n2-mini,other evidence synthesis,clinical,llm_structured,mixed or unspecified chronic pain,unclear,background framing,no,yes,no,no,neurocognitive impairments | attention | executive function | learning | memory | engagement | motivation,biopsychosocial model,missing_social | missing_biology | parallel_listing_without_integration | mechanistic_absence,pseudo-bps or partial signal,yes,medium,"Transdiagnostic chronic pain review focused on neurocognitive impairment and XR rehabilitation; BPS is background framing, with psychological content but no substantive social or biological mechanisms.",llm_structured,nex-agi/nex-n2-mini
A062_40495824,2,Nex-N2-Mini,Nex AGI,nex-agi/nex-n2-mini,narrative or expert review,conceptual,llm_structured,mixed or unspecified chronic pain,unclear,explanatory framework,yes,no,no,no,,biomedical model | biopsychosocial model | functional model | functional medicine,vague_definition | missing_social | parallel_listing_without_integration,pseudo-bps or partial signal,yes,medium,"Narrative chronic-pain review proposes an integrated functional model; BPS is central but psych/social domains are absent, with only biological/functional content substantive.",llm_structured,nex-agi/nex-n2-mini
A063_40473903,2,Nex-N2-Mini,Nex AGI,nex-agi/nex-n2-mini,scoping or mapping review,methodological,llm_structured,mixed or unspecified chronic pain,unclear,background framing,no,yes,no,no,coping | hope | suffering | meaning | emptiness | spirituality | religiosity,,tokenistic_bps | missing_biology | missing_social | parallel_listing_without_integration | mechanistic_absence,pseudo-bps or partial signal,yes,medium,"Scoping review of Spanish pain assessment scales with BPS-spiritual framing; spiritual/psychological concepts appear, but biological and social domain content are absent.",llm_structured,nex-agi/nex-n2-mini
A064_40470451,2,Nex-N2-Mini,Nex AGI,nex-agi/nex-n2-mini,systematic review,clinical,llm_structured,chronic secondary musculoskeletal pain,yes,explanatory framework,yes,yes,yes,no,mental well-being | mental health,biopsychosocial model,parallel_listing_without_integration,multifactorial signal,yes,high,"Direct chronic low back pain review; BPS factors, mental health, rural access, culture, and OMT outcomes are all substantively discussed, but domains remain parallel rather than integrated.",llm_structured,nex-agi/nex-n2-mini
A065_40441869,2,Nex-N2-Mini,Nex AGI,nex-agi/nex-n2-mini,narrative or expert review,clinical,llm_structured,mixed or unspecified chronic pain,unclear,organizing principle,no,yes,yes,no,patient participation | self-management | empowerment | knowledge,biopsychosocial approach | person-centered care,vague_definition | missing_biology | mechanistic_absence | parallel_listing_without_integration,pseudo-bps or partial signal,yes,medium,"Generic chronic pain pathway uses BPS as an organizing assessment/treatment approach; psychosocial/social elements are substantive, but biology is not specified and domains are not integrated, so MSK relevance remains possible.",llm_structured,nex-agi/nex-n2-mini
A066_40300000,2,Nex-N2-Mini,Nex AGI,nex-agi/nex-n2-mini,systematic review,conceptual,llm_structured,mixed or unspecified chronic pain,unclear,explanatory framework,no,yes,yes,yes,depression | anxiety,biopsychosocial model,missing_biology,pseudo-bps or partial signal,yes,medium,"BPS is invoked to explain chronic pain, but the review focuses on social support, pain interference, quality of life, depression, and anxiety. Biology is absent, so this is a partial BPS signal.",llm_structured,nex-agi/nex-n2-mini
A067_40276470,2,Nex-N2-Mini,Nex AGI,nex-agi/nex-n2-mini,narrative or expert review,conceptual,llm_structured,mixed or unspecified chronic pain,yes,rhetorical label,yes,yes,no,no,cognitive dysfunction,,tokenistic_bps | missing_social | vague_definition,pseudo-bps or partial signal,yes,high,"Narrative review of chronic pain disorders with WAD/musculoskeletal pain. BPS is mainly a label; neurophysiology and cognitive dysfunction are substantive, social content absent, yielding a partial BPS signal.",llm_structured,nex-agi/nex-n2-mini
A068_40248751,2,Nex-N2-Mini,Nex AGI,nex-agi/nex-n2-mini,narrative or expert review,clinical,llm_structured,mixed or unspecified chronic pain,unclear,explanatory framework,yes,yes,yes,no,stress | stress management | mind-body techniques,biopsychosocial model | lifestyle medicine,none,potential integrative signal,yes,medium,"BPS explains chronic pain via biological, psychological, and social factors; lifestyle medicine and telemedicine frame clinical management. Domains are substantive; no MSK condition specified, so MSK relevance remains unclear.",llm_structured,nex-agi/nex-n2-mini
